com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2025-07-03 03:28:08.136,2025-07-03 03:28:08.136,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,OOh3/TRIp1,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,8ee63d5d-5532-4a8c-9d93-d9deca6c4deb,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,OOh3/TRIp1,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,e38760ec-a689-4015-822b-e2f8647afac6,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,OOh3/TRIp1,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,6c6ba732-5544-4359-9fdc-9cb71b798328,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,OOh3/TRIp1,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,363c9d55-8137-4db0-a7b3-2a2b691eff35,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,OOh3/TRIp1,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,3c258201-444c-46c5-a54a-5f46aa142d15,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,OOh3/TRIp1,g,1.295,,com.sec.android.app.shealth,9.14,3.7,443d4bb2-417c-4c01-b770-d1651b215185,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,OOh3/TRIp1,g,0.005,,com.sec.android.app.shealth,0.09,88.5,9f8a31f6-d9eb-455e-bd27-acb9c52b8714,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,OOh3/TRIp1,g,0.0,,com.sec.android.app.shealth,0.0,,d58f8a5d-36b6-430f-99ed-cba3545a9ef0,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,OOh3/TRIp1,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,1450f431-2cb7-48ed-abb7-6069c3501cca,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2025-07-03 03:28:08.137,2025-07-03 03:28:08.137,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,OOh3/TRIp1,g,3.067,,com.sec.android.app.shealth,11.42,2.0,b6c6ed3a-2447-4c4f-8103-c1b8b4fff080,1,
70.0,0.0,0.0,,0.0,"140 kcal, Per 11 chips",,fatsecret-57324,1,210.0,1.0,8.0,2018-07-10 20:32:47.650,2018-07-10 20:32:47.650,,2.0,,0.0,Nacho Cheesier Tortilla Chips(Doritos),0.0,,2.0,140.0,serving,,1nlD1Z6VIo,oz,1.0,,com.sec.android.app.shealth,16.0,,1b49a061-8dff-46c2-9345-da58d3200cf0,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2018-07-10 20:09:56.282,2018-07-10 20:09:56.282,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,1nlD1Z6VIo,g,3.067,,com.sec.android.app.shealth,11.42,2.0,f0b1e28e-f83e-4b89-99a2-b7da23c4c727,1,
,0.0,0.0,,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2018-07-10 20:09:56.282,2018-07-10 20:09:56.282,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,,0.0,140.0,serving,,1nlD1Z6VIo,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,5c819884-8277-4cd4-ab16-2f2322d3f2f7,1,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2018-07-10 20:09:56.280,2018-07-10 20:09:56.280,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,1nlD1Z6VIo,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,584eb447-91a1-4edf-b115-1728ff34c4c7,1,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2018-07-10 20:09:56.281,2018-07-10 20:09:56.281,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,1nlD1Z6VIo,g,0.005,,com.sec.android.app.shealth,0.09,88.5,67a00c14-2f8f-4827-964f-f5d4428dd832,1,
0.0,0.0,0.0,,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2018-07-10 20:09:56.281,2018-07-10 20:09:56.281,0.0,0.0,0.0,0.0,Water,0.0,,0.0,0.0,cup (8 fl oz),,1nlD1Z6VIo,g,0.0,,com.sec.android.app.shealth,0.0,,28a603ea-2323-4bde-a468-cfdaefd5cb22,1,
86.0,0.0,0.0,,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2018-07-10 20:09:56.280,2018-07-10 20:09:56.280,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,,0.0,50.0,coffee cup (6 fl oz),,1nlD1Z6VIo,g,1.295,,com.sec.android.app.shealth,9.14,3.7,53a11403-64bc-44a5-9dda-227f49f5f333,1,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2018-07-10 20:09:56.279,2018-07-10 20:09:56.279,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,1nlD1Z6VIo,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,03631046-85c6-4238-a475-02b40096d4a3,1,
422.0,2.0,17.0,,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2018-07-10 20:09:56.278,2018-07-10 20:09:56.278,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,1nlD1Z6VIo,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,c42547eb-0af3-4bd2-beff-19e176833294,1,
67.0,6.0,0.0,,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2018-07-10 20:09:56.279,2018-07-10 20:09:56.279,2.754,6.24,1.214,5.0,Fried Egg,0.38,,3.0,89.0,large,,1nlD1Z6VIo,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,82dced7c-7fb3-4ea3-bb51-4b949441d644,1,
233.0,0.0,149.0,,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2018-07-10 20:09:56.279,2018-07-10 20:09:56.279,0.065,1.02,0.236,4.0,Strawberries,7.08,,2.0,49.0,"cup, halves",,1nlD1Z6VIo,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,58aaf936-9496-421c-bd61-867330c55b49,1,
,,,,120.0,"640 kcal, Per 1 burger",,fatsecret-71640,246,640.0,3.0,32.0,2018-07-10 20:32:05.853,2018-07-10 20:32:05.853,,47.0,,,Burger(Dickey's Barbecue),5.0,,,640.0,serving,,1nlD1Z6VIo,g,11.0,,com.sec.android.app.shealth,39.0,0.384375,41319548-5492-4aeb-be34-b116e97e60b8,1,
,10.0,0.0,,10.0,"290 kcal, Per 1 cup prepared",,fatsecret-2989645,62,670.0,2.0,4.5,2018-07-11 16:57:07.152,2018-07-11 16:57:07.152,,8.0,,8.0,Pasta Sides - Alfredo(Knorr),33.0,,15.0,290.0,serving,,1nlD1Z6VIo,g,2.5,0.0,com.sec.android.app.shealth,36.0,0.2137931,fa07e13c-73cc-4d89-a1dd-d1f1e8755813,1,
56.0,3.0,0.0,,10.0,"4122 kcal, Per 1114g",,fatsecret-3835,48,153.0,0.5,5.26,2018-07-12 20:58:32.017,2018-07-12 20:58:32.017,2.52,1.37,1.142,5.0,Cupcake with Icing,25.75,,4.0,178.0,cupcake (2-3/4" dia),,1nlD1Z6VIo,g,1.311,,com.sec.android.app.shealth,32.54,0.26966292,d2149e0a-d062-4124-ae08-e066b0b3a1bf,1,
,,,,40.0,"270 kcal, Per 1 burger",,fatsecret-78254,104,560.0,1.0,12.0,2018-07-11 22:37:35.617,2018-07-11 22:37:35.617,,13.0,,,Cheeseburger(Burger King),7.0,,,270.0,serving,,1nlD1Z6VIo,g,5.0,0.5,com.sec.android.app.shealth,27.0,0.38518518,40d927fe-04e0-4400-84fc-90f12fdeb13d,1,
160.0,5.0,1.0,,25.0,"218 kcal, Per 100g",,fatsecret-1131,78,55.0,0.7,7.91,2018-07-11 23:10:12.616,2018-07-11 23:10:12.616,2.206,3.06,0.466,2.0,Ice Cream Cone,17.76,,9.0,170.0,cone and single dip (or 1 small cone),,1nlD1Z6VIo,g,4.727,,com.sec.android.app.shealth,22.82,0.45882353,f21d4e3b-c586-4a22-967b-8e64344dea25,1,
4.0,4.0,4.0,,4.0,"800.0 kcal, 1",,quickinput-962448e5-b5ba-4423-b9d6-322d194556a5,0,4.0,4.0,44.0,2018-07-15 01:22:03.187,2018-07-15 01:22:03.187,,44.0,,4.0,amanda's,0.0,,4.0,800.0,serving,,1nlD1Z6VIo,120001,44.0,44.0,com.sec.android.app.shealth,44.0,1.0,b4bc442e-fc36-4219-a16f-2927e2391964,1,
,0.0,0.0,,10.0,"140 kcal, Per 55 pieces",,fatsecret-309297,30,250.0,0.9,5.0,2019-01-14 21:23:32.484,2019-01-14 21:23:32.484,2.5,3.0,1.0,6.0,Goldfish Original Crackers(Pepperidge Farm),0.0,,4.0,140.0,serving,,1nlD1Z6VIo,g,1.0,0.0,com.sec.android.app.shealth,20.0,0.21428572,c81cab5b-0995-4fb7-80a4-d4da8a07d4b4,1,
251.0,6.0,6.0,,58.0,"224 kcal, Per 100g",,fatsecret-39873,232,1104.0,,13.99,2019-01-14 21:12:40.627,2018-07-10 20:31:07.113,5.269,8.26,1.958,15.0,Pancakes with Butter and Syrup,,,13.0,520.0,cakes,,1nlD1Z6VIo,g,5.851,,com.sec.android.app.shealth,90.9,0.44615385,ddd40442-4749-4c01-bffa-832351a68c41,2,
,0.0,0.0,,0.0,"170 kcal, Per 1 bar",,fatsecret-3267390,35,140.0,2.0,8.0,2019-03-31 15:25:21.277,2019-03-31 15:25:21.277,,4.0,,2.0,Sweet & Salty Granola Bars - Peanut(Nature Valley),12.0,,0.0,170.0,serving,,1nlD1Z6VIo,g,2.5,0.0,com.sec.android.app.shealth,20.0,0.20588236,3a34ec20-696e-4ae1-bd0b-60372074d70d,1,
,4.0,0.0,,15.0,"60 kcal, Per 1 cup",,fatsecret-3128573,240,890.0,1.0,2.0,2019-03-31 17:22:01.343,2019-03-31 17:22:01.343,0.0,3.0,0.0,2.0,Classic Chicken Noodle Soup(Campbell's),1.0,,0.0,60.0,serving,,1nlD1Z6VIo,ml,0.5,0.0,com.sec.android.app.shealth,8.0,,84261e71-f0fc-4ca0-ac87-1584d23985d2,1,
450.0,,100.0,,0.0,"110 kcal, Per 1 cup",,fatsecret-96383,8,0.0,0.0,0.0,2019-03-31 17:57:41.458,2019-03-31 17:47:15.898,,2.0,,,Orange Juice (Pulp Free)(Simply Orange),22.0,,2.0,110.0,serving,,1nlD1Z6VIo,oz,0.0,0.0,com.sec.android.app.shealth,26.0,,279fd74e-8c55-4f85-bd6f-a7c107df493a,1,
,,,,,"50 kcal, Per 1 cup",,fatsecret-236913,240,110.0,,0.0,2019-03-31 17:57:41.505,2019-03-31 17:24:42.631,,0.0,,,Thirst Quencher Cool Blue Beverage(Gatorade),14.0,,,50.0,serving,,1nlD1Z6VIo,ml,,,com.sec.android.app.shealth,14.0,,3505ca8b-22cd-44af-bd84-90c2b662ccdd,1,
,0.0,0.0,,0.0,"140 kcal, Per 12 chips",,fatsecret-101204,1,150.0,1.0,7.0,2019-03-31 19:37:23.742,2019-03-31 19:37:23.742,,2.0,,2.0,Restaurant Style Tortilla Chips(Mission),0.0,,2.0,140.0,serving,,1nlD1Z6VIo,oz,2.0,0.0,com.sec.android.app.shealth,17.0,,223139a9-fad1-4809-8a05-d87b377e3cbe,1,
30.0,,,,0.0,"110 kcal, Per 1 slice",,fatsecret-21652651,38,190.0,,1.5,2019-03-31 19:43:51.353,2019-03-31 19:43:51.353,0.0,3.0,0.0,6.0,Artesano Bakery Bread(Sara Lee),2.0,,4.0,110.0,serving,,1nlD1Z6VIo,g,0.0,0.0,com.sec.android.app.shealth,20.0,0.34545454,43de10dc-6ca9-4918-972e-d6f51abe0c40,1,
,,,,0.0,"50 kcal, Per 1 tbsp",,fatsecret-626157,20,0.0,0.0,0.0,2019-03-31 19:43:51.352,2019-03-31 19:43:51.352,,0.0,,,Seedless Strawberry Jam(Smucker's),12.0,,,50.0,serving,,1nlD1Z6VIo,g,,,com.sec.android.app.shealth,13.0,0.4,2cb019b1-bb28-4e99-a27c-f32137ad5ed1,1,
,,,,5.0,"70 kcal, Per 1 bottle",,fatsecret-522577,3,30.0,,0.5,2019-03-31 21:48:08.128,2019-03-31 21:47:21.001,,2.0,,,Danimals Smoothie - Swingin' Strawberry-Banana(Dannon),14.0,,25.0,70.0,serving,,1nlD1Z6VIo,oz,0.0,,com.sec.android.app.shealth,15.0,,87682f35-b8b6-4be1-a22a-64355177ea77,1,
,4.0,0.0,,30.0,"330 kcal, Per 1 package",,fatsecret-2503626,0,580.0,0.0,16.0,2019-03-31 21:53:24.565,2019-03-31 21:53:24.565,,10.0,,10.0,Lunchables Turkey & American with Oreo Cookies(Oscar Mayer),17.0,,15.0,330.0,serving,,1nlD1Z6VIo,,6.0,0.5,com.sec.android.app.shealth,37.0,,81a42029-edcf-499c-bb16-32a9b4c184c4,1,
,20.0,15.0,,10.0,"380 kcal, Per 1 package",,fatsecret-1982912,125,950.0,4.0,21.0,2019-03-31 23:12:28.785,2019-03-31 23:12:28.785,,6.0,,4.0,Lunchables Nachos Cheese Dip & Salsa(Oscar Mayer),3.0,,15.0,380.0,serving,,1nlD1Z6VIo,ml,4.5,0.0,com.sec.android.app.shealth,42.0,,a39fa455-46a0-402a-a37b-ff5dee13ac01,1,
0.0,0.0,0.0,,0.0,"110.0 kcal, 1",,quickinput-699b6d22-8982-429d-9b7b-73fda3099039,1,0.0,2.0,0.0,2019-05-07 22:14:25.015,2019-05-07 22:14:17.207,,3.0,,6.0,Potatoes ,1.0,,0.0,110.0,serving,,1nlD1Z6VIo,120001,0.0,0.0,com.sec.android.app.shealth,26.0,1.0,5541698b-a469-420c-aea8-1e3cf7733137,1,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,fatsecret-800,244,100.0,0.0,4.81,2019-05-07 22:20:05.731,2019-05-07 22:20:05.731,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,1nlD1Z6VIo,g,3.067,,com.sec.android.app.shealth,11.42,2.0,d8e80b40-8b0d-427c-82d8-31cd5a3f47f0,1,
